TIME,MODE,SPEED,VALUE,TEMPERATURE,HUMIDITY
10:14:01,LCD,1,252,30,95
10:14:02,LCD,1,305,30,95
10:14:03,LCD,1,981,30,95
10:14:04,LCD,1,056,30,95
10:14:05,LCD,1,770,30,95
10:14:06,LCD,1,971,30,95
10:14:07,LCD,1,30,30,95
10:14:08,LCD,1,741,30,95
10:14:10,LCD,1,4419,30,95
10:14:11,LCD,1,173,30,95
10:14:12,LCD,1,569,30,95
10:14:14,LCD,1,697,30,95
10:14:15,LCD,1,8446,30,95
10:14:16,LCD,1,099,30,95
10:14:17,LCD,1,715,30,95
10:14:18,LCD,1,810,30,95
10:14:19,LCD,1,4412,30,95
10:14:20,LCD,1,351,30,95
10:14:21,LCD,1,1782,30,95
10:14:22,LCD,1,21,30,95
10:14:25,LCD,1,4,30,95
10:14:26,LCD,1,212,30,95
10:14:29,LCD,1,2,30,95
10:14:30,LCD,1,27,30,95
10:14:31,LCD,1,27,30,95
10:14:33,LCD,1,4,30,95
10:14:34,LCD,1,24,30,95
10:14:37,LCD,1,274,30,95
10:14:38,LCD,1,2,30,95
10:14:39,LCD,1,22,30,95
10:14:40,LCD,1,7,30,95
10:14:41,LCD,1,24,30,95
10:14:42,LCD,1,44,30,95
10:14:44,LCD,1,21,30,95
10:14:45,LCD,1,4,30,95
10:14:46,LCD,1,27,30,95
10:14:47,LCD,1,2171,30,95
10:14:48,LCD,1,7,30,95
10:14:49,LCD,1,22,30,95
10:14:51,LCD,1,27,30,95
10:14:52,LCD,1,17,30,95
10:14:55,LCD,1,7,30,95
10:14:56,LCD,1,2,30,95
10:14:57,LCD,1,7,30,95
10:14:59,LCD,1,2,30,95
10:15:00,LCD,1,2177,30,95
10:15:01,LCD,1,2,30,95
10:15:03,LCD,1,24,30,95
10:15:04,LCD,1,2,30,95
10:15:05,LCD,1,217,30,95
10:15:07,LCD,1,22,30,95
10:15:09,LCD,1,17,30,95
10:15:11,LCD,1,24,30,95
10:15:13,LCD,1,2,30,95
10:15:15,LCD,1,2,30,95
10:15:18,LCD,1,1,30,95
10:15:19,LCD,1,2,30,95
10:15:20,LCD,1,22,30,95
10:15:21,LCD,1,2,30,95
10:15:23,LCD,1,4,30,95
10:15:24,LCD,1,2,30,95
10:15:25,LCD,1,2,30,95
10:15:27,LCD,1,7,30,95
10:15:28,LCD,1,4,30,95
10:15:30,LCD,1,2,30,95
10:15:31,LCD,1,7,30,95
10:15:32,LCD,1,21,30,95
10:15:33,LCD,1,1,30,95
10:15:34,LCD,1,7,30,95
10:15:37,LCD,1,22,30,95
10:15:39,LCD,1,17,30,95
10:15:40,LCD,1,7,30,95
10:15:43,LCD,1,2,30,95
10:15:45,LCD,1,87,30,95
10:15:48,LCD,1,4,30,95
10:15:49,LCD,1,2,30,95
10:15:50,LCD,1,27,30,95
10:15:51,LCD,1,57,30,95
10:15:52,LCD,1,24,30,95
10:15:53,LCD,1,27,30,95
10:15:54,LCD,1,77,30,95
10:15:55,LCD,1,117,30,95
10:15:56,LCD,1,2171,30,95
10:15:57,LCD,1,2,30,95
10:15:58,LCD,1,2,30,95
10:16:00,LCD,1,24,30,95
10:16:01,LCD,1,22,30,95
10:16:02,LCD,1,22,30,95
10:16:04,LCD,1,2,30,95
10:16:05,LCD,1,27,30,95
10:16:21,LCD,1,44,30,98
10:16:21,LCD,1,44,30,98
10:16:21,LCD,1,44,30,98
10:16:21,LCD,1,4,30,98
10:16:22,LCD,1,52,30,98
10:16:23,LCD,1,1727,30,98
10:16:24,LCD,1,27,30,98
10:16:25,LCD,1,2,30,98
10:16:26,LCD,1,4,30,98
10:16:27,LCD,1,1,30,98
10:16:28,LCD,1,17,30,98
10:16:29,LCD,1,17,30,98
10:16:31,LCD,1,27,30,98
10:16:32,LCD,1,2,30,98
10:16:33,LCD,1,24,30,98
10:16:34,LCD,1,4,30,98
10:16:35,LCD,1,27,30,98
10:16:37,LCD,1,21,30,98
10:16:38,LCD,1,2,30,98
10:16:39,LCD,1,2,30,98
10:16:40,LCD,1,2,30,98
10:16:41,LCD,1,2,30,98
10:16:43,LCD,1,2,30,98
10:16:44,LCD,1,27,30,98
10:16:46,LCD,1,78,30,98
10:16:47,LCD,1,224,30,98
10:16:49,LCD,1,2,30,98
10:16:50,LCD,1,7,30,98
10:16:54,LCD,1,2,30,98
10:16:55,LCD,1,2177,30,98
10:16:56,LCD,1,7,30,98
10:16:57,LCD,1,217,30,98
10:16:58,LCD,1,4,30,98
10:16:59,LCD,1,7,30,98
10:17:01,LCD,1,2,30,98
10:17:03,LCD,1,22,30,98
10:17:06,LCD,1,11,30,98
10:17:07,LCD,1,177,30,98
10:17:08,LCD,1,247,30,98
10:17:21,LCD,1,44,30,98
10:17:21,LCD,1,44,30,98
10:17:21,LCD,1,4,30,98
10:17:21,LCD,1,44,30,98
10:17:22,LCD,1,2,30,98
10:17:23,LCD,1,1727,30,98
10:17:24,LCD,1,27,30,98
10:17:25,LCD,1,2,30,98
10:17:26,LCD,1,4,30,98
10:17:28,LCD,1,17,30,98
10:17:29,LCD,1,7,30,98
10:17:30,LCD,1,4,30,98
10:17:31,LCD,1,217,30,98
10:17:32,LCD,1,5,30,98
10:17:33,LCD,1,2,30,98
10:17:35,LCD,1,4,30,98
10:17:36,LCD,1,27,30,98
10:17:37,LCD,1,6,30,98
10:17:38,LCD,1,2,30,98
10:17:39,LCD,1,6,30,98
10:17:40,LCD,1,2178,30,98
